순번,질문,답변
646,?안녕하세요. 이제 고3 올라가는 학생입니다. 저는 반에서 평범하디 평범한?아이예요.?반에서 눈에 띄는 아이도 아니고. 평범하게 어울리는 무리가 있고 급식 메이트가 있는 정도?그런데 고민이 있습니다. 언제부턴가 내가 한 말을 되돌아보다가 재미가 없는 것 같거나 상황에 조금 안 맞다 싶으면 얼굴이 달아오릅니다... 그리고 분명 방학 전에는 편했던 친구들이었는데 오랜만에 다시 만나니 어색합니다. 제 이런 소심함 때문에 친구 관계가 더 깊어지지 않고 계속 원점으로 돌아오는 것 같아요.?제가 어릴 땐 말이 없고 순하다는 이야기를 굉장히 많이 들었는데 아마도 말이 없으신 아빠 유전자를 받은 것 같아요. 그게 아니라면 아주 아기였을 시절 아빠가 엄마에게 때리듯이 손을 올리는 모습을 자주 봐서 항상 행동을 조심조심하게 된 것?같고요.?그래서 초등학교 때?답답해하는?친구들도 있었고. 저랑 놀기 싫다는 친구도 있었습니다. 저는 엄청난 스트레스를 받았고. 표현을 안 하면 다른 사람이 알지 못한다는 사실을?알게 되었어요.?고치기 위해 엄청나게 노력을 했습니다.?그 결과 지금은 재밌다는 소리도 듣고. 감정표현이 풍부하다는 얘기도 듣습니다. 그런데 생각해보면 저는 다른 사람들의 말을 주어다가?따라 하는?느낌이에요. 웃긴 말이 있으면 기억해두었다가 하는 건데 내가 진짜 하고 싶은 말은?아닌 거죠.?그리고 상대방의 반응이 조금이라도 썩소를 짓는다거나 하면 상처를 받아요. 텐션이 떨어집니다. 또. '재미없는 말을 할 바에는 말을 하지 않겠다'라며 입을 꾹 다물고 있을 때도 있습니다.그래서 '기질은 어떻게 해도 바뀌지 않으니?활발해지고?재밌어지는 데는?한계가?있나'라는?생각도 들고. 제가 자존심을 깎아먹는 잘못된 방향으로 가고 있는지 궁금증도 듭니다.이런 불편함은 과연 고칠 수 있을까요??사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=19042
647,?안녕하세요. 저는?몇 년 전 이혼을 하고. 상처가 아주?아물지?않은 상태에서. 가족에게도 큰 상처를 받고?연락이 두절된 상태로 혼자 무기력하게 지내고 있는 상태입니다. 삶의 의욕은 당연히?없고?여기를 떠나 새로운 곳으로?가고 싶다는?막연한 생각만 드는데 용기를?못 내고?있습니다.이혼 과정도. 남편과 잘 지내다가 갑자기 싸우고?남편이 다음 날 집을 나가 사라졌습니다. 그리고 몇 번의?문자로만 연락한 끝에?헤어졌습니다. 어처구니없고?화가 나고?버림받았다는 생각에 너무?힘들었습니다. 정말?사랑했고 믿었는데.. 아직도 솔직히?안 믿깁니다.근데 그것도 모자라..?몇?달 전?엄마와?다툼 끝에?어머니에게 욕설과 막말을 듣고 가족과도 연락을 끊은 상태입니다. 저는 초등학교 때?엄마에게 버려졌고. 약 20여년이 지나 노력 끝에 엄마를 다시 찾을 수 있었습니다. 그러나 그동안의 힘든 과정들. 만나고 보니 막상 내가 그리워했던 엄마가 아닌 생경한 성향의 엄마.. 이루?말할 수?없습니다.?그래도 잘 지내려고 노력했고 심적으로 힘들어도 참았습니다. 하지만 이번 사건으로 저는?두 번?버림받은 느낌을?지울 수가?없습니다.?이제 정말 혼자만 남은 상태로 너무 막막하고 두렵습니다. 당장 생계며. 뭐라도?해야 하는데?자꾸?힘든 상황에?두려움만 커집니다.매일 술을 마시고 잡니다. 왜 사는지고 모르겠고 이 나이에 바보가?되는지.. 어디서부터?시작해야 할지?모르겠어요.?왜 이렇게?뭘 시작조차?못하는지..?직장을 구해야 사는데 그것도?구인 전화조차?시도를 못합니다. 사람들 앞에?나가는 것이?너무 두렵고 다 싫습니다. 살던 여기를 떠나고만 싶은데 그것도 생각만 많고 용기를?못 내요.저 어떻게?해야 할까요..도와주세요.. 당장?제가?할 수?있는?현실적인 것은?병원인가요? 무슨 어떠한 말이든 해주세요..부탁드립니다.?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=19004
648,?안녕하세요. 네이버에서 글을 보다 우연히 알게 되어 답답한 마음에 글 남깁니다.그 전의 히스토리를 짧게 이야기하자면. 저는 10여 년 정도 가벼운 우울증을 갖고 있습니다. 추운 계절에 더 심해지곤 해서 계절성 우울증이라고 예전에 다녔던 병원 선생님이 말씀해주셨습니다.이후 심리상담사님과 2달 정도 상담하면서 지금은 약이 없어도 우울감을 느끼면 혼자 잘 견딜 수 있을 정도로 마음 근육을 키웠다고 생각합니다. (물론 가끔 키운 근육도 소용없을 정도로 우울감에 빠지긴 하지만 그래도 심하면 저 자신을 방치하지 않고 상담이나 다른 노력들을 하려고 합니다.)?문제는 직장상사 한 분이 저를 망신 주듯 이야기를 하고 난 후부터 제 상태가 많이 이상합니다.프로젝트를 맡게 되었을 때 제가 예전부터 미리 잡아두었던 휴가가 있어서 그전에 제가 맡은 파트를 미리 끝내고 일찍 컨펌 요청을 드렸습니다. 근데 본인이 바쁘다고 컨펌을 안 내주시더니 결국 휴가지에 있는 저에게 밤늦게 전화해서 수정을 요청하기까지 했습니다. 그리고 휴가를 다녀 온 후 회의 시간에 구성원들 앞에서 제가 일을 못한다는 듯이 망신 주듯 하시는 말을 듣고 그때까지 잘 감추도 있던 제 포커페이스가 무너졌습니다. 화가 났습니다.그 일을 제가 화를 내며 친하게 지내는 다른 직장상사분에게 말했더니 그건 그 상사가 잘못했다고 달래주시더라고요. 제 편을 들어주니 화는 좀 가라앉았지만... 그날 밤새 제가 일을 못하고 있다는 자책감이 들었습니다.??이후에 다른 동료들의 위로로 일이 잘 마무리됐다 싶었는데.... 오늘 팀원들과 업무 중에 부딪힌 일로 화와 짜증이 난 게 퇴근을 해서도 가라앉지 않습니다. 업무 협조 및 요청을 했는데 팀원이 큰 문제 아니니 그냥 넘기면 안 되냐고 하더군요. 전 그런 사소한 것이 쌓여 우리의 평판이 되는 거라고 말을 했고 상대방은 자기를 가르치지 말라고 받아쳤습니다. 그 말에 화가 났습니다.?그 팀원은 지난번에도 저와 두어 번 업무적으로 작은 언쟁이 있었던 직원이고 그때도 그런 식으로 말하더라고요. 제가 할 말이 없었습니다. 도대체 저의 그동안의 업무 프로세스를 말하는 게 뭘 그렇게 가르치는 걸까요? 의견이 다르면 '아 그러냐. 근데 나는 이런 의견이다'라고 말하고 넘어가면 되는 거 아닌가요??비단 이번 일뿐만 아니라 한 번 짜증과 화가 나면 쉽게 가라앉지 않습니다. 업무적인 일이든 가족과의 일이든 짜증이나 화가 나면 가라앉지도 않고 누가 말을 시키는 것도 싫도 그냥 나를 좀?내버려 뒀으면?좋겠습니다친구나 누구랑 이야기할 때 잠깐 가라앉았다가 또 혼자가 되면 화나고?짜증 나는?감정이 이어집니다. 심할 땐 속으로 욕설도?되뇌고요. 치료를 받아야 하는 걸까요??사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18965
649,?이제 막 20대에 들어선 사람입니다. 최근 들어 거울을 보기가 무서워졌습니다.더 자세히 말씀드리자면. 거울 속 제 자신과 눈을 마주치기가 힘듭니다. 꼭 거울 속에 있는 제 자신이 또 다른 저 자신처럼 느껴져 섬뜩합니다. 때문에 자꾸 거울을 볼 때 제 눈을?마주 보길?꺼려하고 있습니다. 몇?달째?이러고 있는데. 나아질 기미가 보이지 않습니다.혹시 정신 상태와 관련이?있는 걸까요??한 번은 거울 너머에 있는 저 자신이 절 관찰하고 있다는 느낌마저 받았습니다. 미칠 지경입니다. 상담이라도?하는 게?좋을까요?또 이런 느낌을 받은 후 몇 달 전부터는 제?방구석에서?누군가가 절 바라보고 있다는 느낌마저 받고 있습니다. 자거나 컴퓨터를 할 때면 자꾸 그런 시선이 느껴져 이젠 성질이 다 납니다. 아무것도?없는 게?확실한데 왜 이런 느낌을 받는지 전혀 모르겠어요.?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18967
650,?저는 아이를 키우는 주부인데... 아이를 위해 살아가다 보니 문득 마음이 공허합니다.물론 아이가 잘 되고 행복하게 살길 바라고 제가 필요한 것도 잘 알고 있어요. 그런데도 그냥 요즘 들어 혼자 있고 싶고 아무도 제 인생에는 관심조차 없는 것 같아요. 원래도 사람들과 교류를 자주 하진 않았지만. 탑 꼭대기에서 혼자만 살고 있는 느낌입니다. 세상으로 내려가기엔 두렵고 동떨어진 느낌입니다.너무 혼자인 게 익숙하다 보니 사람이 그리우면서도 섞일 수 없는 물과 기름처럼 느껴집니다. 그래도 누군가 한 사람은 제 맘을 들여다 봐주면 좋겠는데 그게 누군지도 모르겠고. 어떻게 만들어야 하는지도 모르겠어요.?아이가 어느 정도 크면 벗어나고 싶다는 생각이 듭니다. 아이만 바라보며 사는 삶이?숨 막히기도?하고. 언제 끝나는 건지 막막하게 느껴집니다.물론 제가 선택한 인생이고 제가?할 일이란?것도 알겠는데 아이와 좀 떨어지고 싶습니다. 차라리 일을 하는 게 이런 공허함을 잊을 수 있는 길일까요...??사진_픽사베이,http://www.psychiatricnews.net//news/articleView.html?idxno=18952
651,?안녕하세요. 20대 중반에서 후반으로 넘어가려고 하는 여성 직장인입니다. 지금 제 마음이. 감정이 우울증인지 모르겠어서 이렇게 글 남겨봅니다.저는 고등학교 때부터 진로에 대한 고민으로 너무 많이?힘들어했습니다.?부정적인 생각까지 할 정도로요. 그래도 어떻게든 관심사를 찾아보려 애썼고 관심 있던 분야의 시험을 여러 차례 도전했지만 연달아 낙방하고?또다시?미래에 대한 고민에 빠졌습니다. 그리고 지금 현재. 또 다른 진로를 찾아 자격증 공부 중에 있습니다.그런데. 지금 내가 살고 있는 게 맞게 살고 있는지 잘 모르겠습니다. 마음을 다잡고 공부하려 해도 자꾸?딴생각이?들고 집중 시간이 1시간이 넘을까 말까입니다. 이런 자신이 너무 한심하다는 생각을?자주 하게?됩니다. 성격이 워낙 덜렁대서 기계도 잘 고장내고. 물건을 망가뜨리는 일도 잦습니다. 현재 함께 살고 있는?남자 친구에게도?덜렁댄다는 말을 많이 듣고. 가족에게도 많이 들었습니다.다른 사람들에게 말을 하려고 해도 내가?하고 싶은?말을 제대로 정리하지 못하고. 직장에서 질문을 할 때도 내가 원하는 질문이 잘 나오지 않습니다. 주변 사람들에게도 내가?하고 싶은?말을 하려 해도 항상 의도가 다르게 전달되어 싸우기도 많이 싸우고 그러다 제가 답답해서 벌컥 화까지 내버립니다. 내가 실수한 건데도 화가 나는 상황이 최근 점점 늘어나고 있습니다. 아무것도 아닌데 짜증이 나고. 상대방이 아무렇지도 않게 한 말에 화가 납니다.?이런 게?분노조절장애일까요??그냥 요즘 제 자신이 너무 싫어져요. 세상 살아가는 데 도움이 되는 것 같지도 않습니다. 내가 뭘 좋아하는지. 뭘?잘하는지도?하나도 모르겠어요. 차라리 잘하는 게 있다면 그걸 직업으로 삼아도?될 텐데.?잘하는 것도 없고. 뭘 좋아하나 생각해 봐도 떠오르는 게 없습니다. 그냥 자존감이 계속 축축 쳐지고 있어요.이런 내 상황을 주변 사람들에게 말하고 도움을 받고 싶어도 또 지금 내 심정을 제대로 말하지 못해 도리어 상대방에게 안 좋은 감정을 가지게 해요. 고민을 탁 터놓고 말하고 싶어도 내가 그 사람을 감정 쓰레기통으로 만들어 버릴까 봐 말도?못 하고?속으로 '그래 그냥?넘기자.'라고?생각해 버립니다.그렇게 넘기면 한동안은 괜찮아요. 기억력이 나빠서인지 안 좋았던 기분도 조금만 혼자 삭히면 금방 또 웃어집니다. 그런데 똑같은 상황이 되면 또 기분이 나빠져요. 제 기분을?컨트롤하고 싶은데?그게 잘 되지 않습니다. 요새는 웃는 날도 점점 줄어드는 것 같아요.?남자 친구와의?대화도 예전엔 항상 즐거웠던 것 같은데 지금은 같이?관심 있던?주제도?몇 번?대화를 나누고 나면 뭐라 말해야 할지 모르겠습니다. 예능프로그램이나 드라마를?볼 때?잠깐 웃고 평소엔 웃음이 나오질 않아요.그리고 무슨 일이?일어날까 봐?계속 불안합니다. 버스를 타면 내가?타고 있는?버스가 사고가 나는 상상을 하고. 퇴근하고 어두운 거리를 걸으면 누군가 나에게 접근할 것만 같습니다. 이게 우울증인지. 공황장애인지. 불안장애인지. 감정조절장애인지 모르겠어요.그냥... 요새 내가 누구인지도 잘 모르겠어요. 어떻게 해야 할까요??사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18920
652,?안녕하세요 이제 20대 중반이 된 여성입니다.저는 우울증에 걸린 것을 중학생 때 알게 되었습니다. 상담사분이 우울증이라고 얘기해주셨어요. 이유는 가정불화였습니다.저에게 많은 치료 권유가 있었지만 모두 거절했습니다. 처음엔 믿어 볼까 싶었지만. 가족도 못 믿는 제가 다른 사람을 믿는 것은 힘들었기 때문입니다. 그렇게 점차 제 증상은 심해졌고 성인이 될 무렵 터지고 말았습니다. 그래서 결국 전 자해를 일주일에 한 번은 해야 뭔가 후련한 마음이 들기 시작했습니다.이대로는 스스로가 위험할 것 같다는 생각에 갓 20살 때 병원을 찾아갔습니다. 병원을 찾아가는 자신이 참 한심했습니다. 병원을 가는 날마다 환청이 들렸습니다. '너는 정신병자야' '너는 왜 그런 식이냐' '네가 문제야'라는 비하하는 소리였죠. 그럴 때마다 눈물이 났습니다. 정말 제가 정신병자로 느껴졌거든요. 그래도 약을 먹으면서 점차 줄어들 것이라 믿었습니다.?저에겐 환경변화가 필수라고 하셨고. 운이 좋게 독립할 기회가 생겼습니다. 허락받지 않은 독립을 시작했습니다. 하지만 환경이 달라져도 저는 달라지지?않더라고요.?오히려 상황은 더 나빠졌습니다. 하루에 한 번은 꼭 자해하는 버릇이 들었습니다. 독립했지만 압박은 더 가해지며 성인이 되어 저에게 바라는 게 더 많아진 가족들 때문인지. 아니면 주위에 오래된 사람들이 한두 명씩 떠나가서 그런 건지 스스로 자책하는 시간이 더 늘어났습니다. 이제 다른 사람에게 무슨 일이 생기면 다 제 탓으로 느껴집니다. ‘내가 미리 알아둘걸’. ‘미리 어떻게 해둘걸’이라며 머리로는 제 탓이 아닌 걸 알지만 마음으로는 제 탓을 하고 있습니다.?독립하면서 다른 병원을 알아보고 더 좋은 선생님을 만났습니다. 선생님은 좋으신 분이었지만 저는 나아지지 않았습니다. 약은 갈수록 늘어나면서 선생님도 같이 걱정하셨죠. 이 버릇을 버리라고 선생님이 그러셨지만 몇 년 동안 한 버릇이 한 번에 고치기는?힘들더라고요.?그래서 아직도 저는 이렇게 살고 있습니다. 이젠 길거리 사람들만 봐도 어지럽고 울렁거리며 사람 만나는 게 힘들어졌습니다. 그래도 전 주변에 아무렇지 않은 척 괜찮은 척하며 사람 만나는 날도 늘려보곤 했습니다. 하지만 이제 지치기 시작하네요.이젠 모두 다 놓고 싶습니다. 제가 정작 너무 힘들고 아플 때 주변은?어둡더라고요.?그때 느꼈습니다. 이제 죽어도 되겠다고 말이죠. 이제 주변 사람들도 놓고 가족도 다 놓고 싶습니다. 유서도 자주 내용을 바꾸어 쓰고 있습니다. 저는 어떻게 죽어야 할지. 언제 죽어야 할지에 대한 생각으로 하루를 살아갑니다. 이런 저 어떻게 놓아야 할까요??사진_픽사베이,http://www.psychiatricnews.net//news/articleView.html?idxno=18882
653,?안녕하세요. 자녀와 함께 사는 30대 여성입니다. 20대에 심한 우울증을 앓아서 수면제 과다복용으로 며칠간 혼수상태였던 적이 있습니다.?입원치료를 하면서?우울증은 많이 완화가 된 편이었고. 아이들을 낳고서 많이 좋아진 편이었습니다.문제는 이후부터는 엘리베이터를 타지 못합니다. 폐쇄성이 있어서. 높은 곳을 올라가서 무서운 폐쇄공포증이나 고소공포증이 아니라.. 엘리베이터가 떨어지면 어떡하나 하면서 극심한 공포로?다가오고요...?정말 심할 때엔 에스컬레이터도 타지 못합니다. 고층 건물을 계단으로 올라갈 수는 있으나?장시간(3시간 이상)?있게 되면 무너질까 봐 무서워집니다... 집에서 잠을 자다 집이 무너질 거 같아 뛰쳐나온 적이?한두 번이?아니었고요.?가끔은 지구가?부서져버린다는?생각까지 넘어설 때가 있습니다. 재해. 재난사고 뉴스를 보고 나면?몇 달간은?나가는 것 자체로도 스트레스를 받을 때가 있습니다. 그래도 요즘은 많이 좋아진 편이라 엘리베이터 외엔 뛰쳐나가는 일이 적어졌습니다.문제는 요즘 들어?아이들이 저를 따라서 엘리베이터를 못 탄다는 걸?알게 되었습니다.?엄마가 타질 못하니 아이들도?못 타더라고요?ㅠㅠ 되게 높은 곳을 올라가는데도 묵묵히 계단으로 올라오는 아이들을 보면 너무 미안해서... 최근 제주도 여행을 제의를 받았는데... 전 비행기나 배 얘기만 나와도 벌벌 떨거든요... 근데 아이들도 그런 행동을?하는 게?보이니 얼른 고쳐야겠다는 생각이 듭니다..대체 저는 어떤 문제가?있고?어떻게 해결을 해야 하는 걸까요....?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18880
654,?감각이 너무 예민해서 답답합니다. 그래서 적게 되었는데요. 감각이 너무 예민하고. 더?예민해지고?있는 듯합니다. 왜냐하면?츄리닝?바지도 갑갑해서 그 상태로 무언가에 집중하기가 어렵기 때문입니다.?제 증상은 생각보다 심각합니다. 양말조차도 조금 끼는 것을 신지 못합니다. 참고 신었다가는?하루 종일?괴로움을 당하기 때문입니다. 시계. 속옷. 반지. 털옷.?잠바(타이트한) 또한 마찬가지입니다.?죽을 지경입니다.?팬티도 저에겐 감각을 자극시킵니다. 다 벗고 있습니다.?팬티를 입지 않은지 10년이 되어 갑니다.?축구 같은?운동도 어렵습니다. 축구화를 느슨히 하면 넘어질 수 있고 반바지도 너무 불편하기 때문입니다.그리고 사람들과 눈을 잘 못 마주칩니다. 너무 많은 자극이 오기 때문입니다. 마트에 가는 것도 힘듭니다. 밖에 나갈 때면 귀마개를 하고 나갑니다. 그래서 자꾸 집에 있으려고 하는 모습을 보입니다.?처방을 받고 치료를 받아야 하는 부분인지. 나아질 수 있는 것인지?답 좀?부탁드립니다. 심각합니다...?사진_픽사베이,http://www.psychiatricnews.net//news/articleView.html?idxno=18865
655,?남편도 처음엔 부모처럼 저를 받아주고 잘해줘서 좋았는데. 어느 순간 자기도 지쳤는지 데면데면하게 되었어요. 권태기를 겪으며?깨달았어요. 남편은?제 부모도 아니고 부모님의 사랑을 줄 수도 없다는 걸요.그 와중에 또다시 부모님과 비슷한 사람을 만났는데 이 사람이 너무 좋습니다. 이 사람도 제 부모가 될 수 없는데도 자꾸 이 사람의 아이가 되고 싶은 마음이 듭니다.부모님께 진정한 사랑을 받지 못해서일까요... 왜 자꾸 전 부모님의 사랑을 타인에게 구하는 걸까요? 결국 아무도 제 마음을 채워줄 수 없다는 걸 알면서도 자꾸 저를 아이처럼 받아줄 사람을?찾게 돼요.?그게 더 이상 남편은?아니라는 생각이 드니까 마음도 식었어요. 애정결핍인가요??사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18838
656,?안녕하세요. 이제 고3에 올라가는 학생입니다. 정신과에 가본 적은 없습니다.중학교 때 취미를 공유하는 온라인 커뮤니티를 알게 되어 활동하다가 애인을 사귀었습니다. 약 두 달간의 연애 후 잠수 이별을 겪고 우울감에 자해를 시작했습니다. 3달 정도 우울감에 시달리며 지냈고 지속적으로 자해를 했습니다.시간이 지나자 감정은 사그라들었고 그렇게 계속 커뮤니티에서 활동하다가 두 번째 애인을 사귀게 되었습니다. 그러나 애인이 교제 도중 다른 사람에게 감정이 쏠려 헤어졌고. 연락은 하며 지냈습니다. 그런데 힘든 일을 겪고 있던 와중에 저와의 일까지 겹쳐서인지. 자해를 했다며 사진을 보내거나 위로를 해달라는 일이 잦았고 저는 애인을 위로해주는 동시에 우울감이 올라와 또다시 자해를 했습니다. 남들에게 고민 상담을 해볼까도 싶었지만 관심을 얻으려는 것처럼 보일 것 같아 말은 하지 않았습니다. 약 두 달간 애인과 연락을 끊지 못한 상태로 지내면서 계속 자해를 했습니다.연락을 끊은 이후로도 새벽이면 우울감이 올라와 종종 자해를 했고. 새벽에 감성이 풍부해져 그런 거겠거니 하며 별다른 생각은 하지 않았습니다. 도중 지인이 고민 상담을 해오는 일이 많아져 계속해서 들어주다가 감정에 동화되는 일이 잦았습니다.?전 애인을?생각하다가 우울해지는 일도 많았습니다.그리고 세 번째 애인을 사귀면서. 애인과의 대화를 통해?전 애인에게?트라우마가 있는 것이 아닐까 하는 생각을 하게 되었습니다. 현재 애인과는 연락 관계로 헤어진 상태이며 그 전 애인과 달리 좋게 헤어졌습니다.?그 이후로 약 1년 간 새벽에는 계속 우울했으나 말을 했다간 관심을 끈다는 소리를 들을 것 같다는 생각이 들어 말은 하지 않았습니다. 지속적으로 애인 생각이 났고 (둘 모두) 우울감이 심하게 와 답답할 때는 자해를 했습니다.스스로의 증상을 돌이켜보며 우울증 같다는 생각을 하기도 했으나 저보다 더 심한 사람도 있는데 이런 것쯤은 증상도 아니란 생각이 들었고 다들 이 정도는 겪으며 살겠지 하는 생각도 들었습니다. 자해 역시 정말 죽을 각오로 하는 것도 아니고 그냥 관심을 끌고 싶어서 하는 것 같은 생각이 들고 동시에 그런 생각을 하면서 더 우울해져 자해 충동이 생깁니다.사귀었던 사람들은 전부 동성이었는데.?첫 번째 애인을 사귀면서부터 나는 동성애자구나 하는 생각을 가지고 살았으나 최근 들어 이것도 내가?특별해 보이고?싶어서 의식적으로 꾸며낸 게 아닐까 하는 생각을 하기 시작했습니다. 뭘 하든 그냥 내가?특별해 보이고?싶어서 꾸며낸 게 아닐까 싶고 이런 걸 말하는 걸로 남들의 관심을 얻고 싶은 게 아닌가 하는 생각이 들어 고민상담을 하는 것도 어렵습니다.커뮤니티에서의 활동을 끊어볼까 생각도 해봤지만 그런 생각을 하면 오프라인과는 별개로 인간관계에서 동떨어진 것만 같은 느낌을 받습니다. 부모님은 제가 커뮤니티에서 활동하고 있다는 사실부터 애인이 있었다는 사실. 자해. 그 이외의 모든 일에 대해 모르십니다.이런 증상이 우울증이 맞는지. 맞다면 어떻게 대처해야 하는지 알고 싶습니다.?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18811
657,?안녕하세요. 직업에 대한 문제로 항상 자살을 생각하는 사람입니다. 작년에는 직장을?그만두고?허무함에 자살 기도를 했는데 결국에는 살아서 이렇게 글을 쓰고 있네요. 그때 죽었어야 했는데 하는 아쉬움이 아직도 많이 남아 있습니다.저는 고졸에. 20대에 2년 정도 계약직 근무한 것 말고는 별 경험이 없습니다. 20대 중반에 4년 정도 공무원?시험을 준비하다가?계속 낙방해서 그만두었고요. 시험을 접고 너무나 힘들어서 정신건강의학과에 내원해 우울증 진단을 받고 계속 치료받는 중입니다. 핑계라면 핑계일 수도 있겠지만 공무원 시험을 준비했던 4년간의 공백기가 너무나 급소를 때린 결정타라고 생각합니다. 고등학교 과목이면 모를까. 합격하지 못하면 정말 쓸데없는 지식이거든요.모든 연령대가 다 중요하긴 하지만 20대 시간을 허투루 보내면 정말 30대에는 답이 안 나오는 망한 인생이라고 밖에 생각할 수가 없습니다. 이력서도 이곳저곳 100군데 넘게 넣어보고 면접도 보았는데 연락이 오질 않네요. 의사 선생님처럼 고학력을 요구하는 병원에 넣는 것도 아니고. 고졸이면 가능한 회사에 넣는데도 이러니 참 노답 인생입니다.특정 직업을 평가절하할 생각은 전혀 없습니다. 그런데 지금 제 상황이 아무래도 진입장벽이 낮은 일밖에 할 수 없는 상태라는 것을 알고 있습니다. 이를테면 요리 보조. 하역. 택배. 배달 등등 말이죠. 남의 시선은?둘째 치고.?위의 일들을 하게 된다면 저 자신이 너무나 못난 사람이라는?생각 때문에?병이 더 악화되어 상태만 안 좋아질 거라는 것을 너무나 잘 알고 있습니다.주치의 선생님께서는 입원 권유를 하셨는데 폐쇄 병동에 입원 5일 정도 해보니까 사람이 정말 더 미쳐간다고 느껴졌습니다. 더 이상 못 참고 퇴원하게 되었습니다. 입퇴원을 반복하면 목숨은 붙어 있을지 몰라도 이럴 바엔 죽는 게 낫겠구나 하는 물음을 던지지 않을 수가 없을 것 같습니다. 아무리 못해도 최소 하루에 8시간 이상 일을 한다고 가정했을 때. 하기 싫은 일. 괴로운 일을 하면서 하루하루를 살 바에는 죽겠다는 생각이 이상한 것일까요?선생님들의 고견을 듣고 싶습니다.?보잘것없는?글 읽어주셔서 감사합니다.?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18812
658,?안녕하세요. 저는 이제 막 대학교를 졸업한 20대 여자입니다.제목에 쓴 것처럼 낯선 사람들과 대화를 못하겠어요.원래 어릴 때부터 성격이 소심하고. 다소 모나고. 남한테?관심 없고.?사람의 필요성을 잘 못 느끼긴 했지만 이렇게?모든 게?두렵진 않았는데. 고등학교 졸업 후 타지에서 몇 년간 사람들과 대화를 안 하고 살아서 그런 건지 우울증이 심해져서 그런 건지 대화하는 것이 힘들어요. (저는 만성 우울증이 있고. 이것 때문에 몇 년 동안 정신과 약을 먹다가 의사를 향한 불신과 부작용이 지겨워서 재작년에 끊었어요.)마음에 드는 사람을 만나 몇 년째 사귀고 있고?동거 중인데.?밖에 나가면 극도로 소심해져서 타인에게는 거의 말을?못 해요.?예전에는 제 성격이 이상하다는 자각을 못해서?별생각 없이?말 걸곤 했는데. 서서히 지인이 줄어드는 걸 보고 고민하다 보니 제가 민폐?덩어리 같고.?대화하면 상대를 불쾌하게 만들고?피해 줄까?봐 말하기가 두려워요. 이 관념이 생긴 뒤로는 대화가 불편한 걸 넘어 남이 절 이상하게 보는 것 같고. 남을 불쾌하게 만드는 것 같아요.대학생 때는 인간관계에 예민하고 스트레스를 잘 받아서 단절하고 아웃사이더로 살았어요. 대화는 가끔 만나는 가족이나 애인이랑만?하고요.?(이제는 애인도 제 우울을 지겨워하는 것 같아서 말을 별로?안 해요.)이제 사회생활도 하고 돈 벌고 뭐라도?해야 하는데?그러려면 밖에서 사람을 만나고 잘?대해야 하잖아요.?그걸 못하겠어요. 사람들이 저 때문에 불쾌해지고 절 싫어할 것만 같아요. 실제로는 사람들이 아무런 생각이 없다는 걸 머리로는 아는데 자꾸 '저 사람도 분명 내가?싫어질 거야.?그러니까 차라리 아무 말도?하지 마.?기분 나쁜?사람보다는?없는 사람이 되는 게 나아.'라는 생각이 들어요.요즘에는 SNS 활동도 안 해요.?피해 줄까?봐요. 제가 타인과 너무 대화를?안 해서?이상해진 건가요? 겨울이라 우울이 심해져서 예민해진 건가요? 어떻게 해야 고칠 수 있나요?? 억지로라도 일하고?사람 만나고?말을?하다 보면?나아질까요? 다른 사람들 SNS를 보니까 다른 동기는 교수님한테서 취업 관련 연락이 왔었다는데 저한테는 아무 연락도 없었어요. 어쩌면 저는 실력도 없고 성격도 이상해서 사람들이 정말로 저를?미워하는 것?아닐까요? 제발 도와주세요.?사진_픽셀,http://www.psychiatricnews.net//news/articleView.html?idxno=18783
659,?안녕하세요. 저는 한때 학교폭력을 당했던 트라우마가 남아있는 사람입니다. 그때의 충격으로 인해 저는 지금 마음의 감기를 앓고 있습니다. 그 애들은 저를 비웃고 깎아내리고 조롱하고 괜히?왕따 시키고?무시하고 게다가 저에 대한 안 좋은 소문을 퍼뜨리는 등 극악무도한 짓을 했습니다. 저는 이에 대한 대책이 뭘까 고민을 하던 중입니다. 복수하고 싶지만 지금 제 여력이 남아있지 않습니다. 어떻게 해야 할까요??사진_픽사베이,http://www.psychiatricnews.net//news/articleView.html?idxno=18801
