순번,질문,답변
37,"완벽주의 성향이 있어 제 마음대로 안 되면 짜증 나고 제 말에 반박하면 화가 나는 일이 많습니다. 친구들과 얘기해보면 참는 게 가장 현명한 방법이고, 다름을 인정하라고 하지만 실천하기가 어렵습니다.","맡은 일을 잘 해내고 싶은 마음은 누구나 있기 마련이지만 ‘얼마만큼’ 잘 해내고 싶은지에 대한 기준은 각자 다릅니다. 그렇기에 함께 일을 하다 보면 일에 들이는 시간과 노력의 양이 다르게 되고 결과로 드러나게 되면 그동안 참았던 불만이 갈등으로 드러나게 되는 것이지요.
윤이 님도 이런 갈등들이 발생해 힘드셨던 것 같습니다. 친구들에게도 물어보고 어떻게 해야 할 지 개선점도 찾아보고 부단히 노력하셨지만, 막상 실천하는 것은 또 다른 벽에 부딪히는 일이기에 쉽지 않으셨을 거예요. 자 그럼 앞으로는 어떻게 하면 좋을까요?
1.자신의 욕구를 인정하고, 수용하세요. 그리고 팀원들에게 안내해주세요.
""나는 뭐든 맡은 일은 잘하고 싶어 하는 사람이야. 팀원 모두가 비슷한 마음일 거라고 생각하고 있어. 그래서 우리 같이 힘을 뭉쳤으면 해. 팀 전체에게 마이너스가 된다고 생각되는 일들에 되게 민감해지는 경향이 있는데, 나도 팀플하는 동안 최대한 노력하고 조심할게. 서로서로 신경 쓰고 부담스러우면 의논하고 조율해가면서 이 과제 잘 마무리해서 좋은 성과로 남기도록 같이 힘내 보자!""
2. 비난하고 싶은 마음을 잠시 멈춰두고, 냉철한 두뇌를 깨우세요.
갈등이 발생하면 우선 짜증 나고 화도 나고 상대방을 비난하고 싶은 마음이 들 것입니다. 그때 잠시 숨을 고르고 천천히 생각해보세요.
“내 방법이 나에겐 옳지만, 남에게는 아닐 수 있다. 내 기준을 남에게 강요할 수만은 없다 그럼, 여기서 뭘 해야 하지?""
3. 떠오르는 방법들에 대해 윤이 님이 할 수 있는 것과 할 수 없는 것을 구분해야 합니다. 몇 가지 생각해볼 수 있는 예시를 보여드릴게요.
""Q.다른 팀원 분량의 일을 내가 더 할 수 있을까? 나에게 그럴 여유와 시간과 에너지가 있나?
Q.일하는 방법을 모르는 거라면 가르쳐주면 될까?
Q.매주 해야 하는 분량을 아예 정해줘 버릴까?
Q.타인의 동기를 끌어올려 줄 수 있을까?
Q.쉬운 일로 바꿔주거나 일의 양을 줄여주면 수행의 질이 나아질까?""
4. 윤이님이 할 수 있는 방법을 써보아도 마음에 드는 효과가 나지 않을 수 있습니다. 그렇다면 속이 쓰리겠지만 그 사람은 ‘‘윤이""님이 아닌 것을 받아들여야 합니다.
""나도 내 마음대로 안 되는 데 남을 어떻게 다 바꿀 수 있을까요?
내 몸에 아무리 죽은 약이라도 타인에게는 쓰기만 한 물일 수도 있답니다."""
38,"휴식을 취하면 마음이 불편하고 기분이 좋지 않아요. 공부를 해야 한다는 강박감이 있는 것 같아요. 방학에도 계속 자격증 공부를 하고 있는데, 힘드네요. 마음 편히 쉴 방법이 있을까요?","강박은 불안을 기반으로 합니다. 강박사고와 행동은 일종의 불안 조절 시도인 것이죠. 윤이 님은 힘들어도 공부를 지속함으로써 불편한 감정과 생각을 조절하고자 노력하고 계신 것 같습니다. ""공부를 해야 한다’’는 마음이 어디에서 왔고, 무엇을 걱정하고 무엇을 대비하려는 것인지 이해할 수 있다면 이를 조절하는 데 도움이 될 것입니다. 또한 목표에 부합하는 공부의 충분한 수준과 윤이 님이 유지할만한 정도를 분명하게 해주는 것도 도움이 됩니다._x000D_
적절한 휴식은 인간에게 매우 중요합니다. 이렇게 한 번 비유해보죠._x000D_
""‘스펀지(본인)’는 각자의 ‘특성과 크기만큼의 물(에너지)’을 머금을 수 있습니다. 우리는 '샘(휴식)'에서 물을 받아 매일 ‘그릇(할 일)’을 채워갑니다. 중요하고 급한 것들은 그만큼 더 열심히 채우려 할 것입니다._x000D_
그런데 단순히 그릇 위에서 스펀지를 쥐어짜는 행동을 하면 계속 물이 나올까요? 마음이 급해 충전 없이 쥐어짜다 보면 스펀지에 상처가 나 너덜너덜해질 것입니다._x000D_
이 상태에서 아무리 휴식을 취해도 ‘쉰 것 같지 않은' 느낌을 받게 됩니다. 안정적으로 그릇을 채우기 위해 적절한 시기에 스펀지를 적시고, 충전하는 과정이 꼭 필요합니다.""_x000D_
에너지를 채워줄 다양한 샘들이 있습니다. 수면, 식사, 휴식, 놀이, 취미 등등. 어떤 샘들은 수면이나 식사처럼 채워지는 양은 적어도 자주 사용할 수 있지만, 여행과 같이 크고 깊지만 자주 쓰지 못하는 샘도 있습니다._x000D_
자신에게 맞고 필요한 샘을 찾아 다양한 휴식 방법을 마련해 두시길 권해드립니다._x000D_
만약 윤이 님의 삶에서 현재 ‘쉼’을 허용하고 있지 않다면, 무엇이 영향을 주고 있는지 살펴보세요. 어떤 일이 완수되었을 때만 ""끝났다. 이제 쉬어도 되겠다”가 아닙니다. 어떤 일들은 끝이 멀고 모호해서 ""끝나고 쉰다”는 룰을 적용하기 어렵기도 합니다. 그렇기에 오랜 기간 다양한 일을 하며 살아가야 하는 우리는 삶의 여러 지점에서 스스로 쉬어가도록 ‘‘내적인 허용""을 할 수 있어야 합니다._x000D_
""공부를 해야 하고 좋은 직업을 가져야 한다는 것은 어릴 적 부모님이 힘든 직장생활을 통해 나를 키워주신 것을 지켜보며 생겼던 미안함과 공부를 열심히 하고 돈 많이 벌어 부모님이 더는 일 안 하시도록 만들기 위함이었다. 그래서 휴식을 취해도 다는 걸 알게 되었다. 그래서 휴식을 취해도, 친구들을 만나도 마음이 불편했던 것이었다는 것을 알게 되었다._x000D_
물론 열심히 사는 것은 목표지향적이고 너무 좋지만.. 가끔은 서럽기도 하고 쉬고 싶기도 하다. 이런 나에게 쉬어도 된다는 “내적 허용'’을 해줘 봐야겠다. 잠깐씩 쉬어도 된다. 나를 위해서."""
39,"나만의 규칙을 세우는 것이 꼼꼼하고 완벽을 추구하는 좋은 모습이라 생각했는데, 스스로 힘들게 하고 있더라구요. 도움 될 책 추천해주세요.","자신에게 여유를 허락하기로 하신 윤이 님의 선택, 너무 반갑습니다!_x000D_
꼼꼼하고 끝까지 해내는 신뢰 되는 윤이 님의 모습은 다른 분들께 귀감이 되었을 것 같습니다. 다만 그런 특성이 필요하지 않은 상황에서도 스스로 완벽을 요구하게 될 때 다소 괴로워지지 않았을까 생각합니다._x000D_
보통 불안한 마음이 자주 들 땐 생각을 많이 해서 불안을 다스리려 합니다. 그래서 생각에서 벗어나 감성이 촉촉해질 수 있는 책들도 함께 추천해 드리고 싶은데요~_x000D_
◇도서/웹툰_x000D_
-30년 만의 휴식(이무석/비전과리더십)_x000D_
-그러라 그래(양희은/김영사)_x000D_
-내 영혼이 따뜻했던 날들(포리스트 카터/아름드리미디어)_x000D_
-아몬드(손원평/창비)_x000D_
-리버보이(팀 보울러/놀)_x000D_
-여중생A(허5파6/비아북)_x000D_
◇영화_x000D_
-인사이드 아웃_x000D_
-몬스터 콜_x000D_
-와일드_x000D_
-가버나옴"
40,"특정 사건을 계기로 인생이 너무 허무해졌어요. 예전에는 먼 미래를 보고 살았는데, 지금은 미래가 없을 수도 있다는 생각이 머릿속에 가득해요.","안녕하세요, 윤이 님. 윤이 님께 영향을 미친 일이 어떤 내용이며, 그 당시 어떤 것을 느끼셨는지, 그 후 자신을 어떻게 돌보며 지내오셨는지 정보가 없어 어떤 말씀을 드릴 수 있을까 조심스럽습니다. 다만 이전의 윤이 님은 먼 미래를 보며 삶의 목표와 희망을 품을 수 있었다는 것이라 현재는 그런 미래를 조망하기 어려운 상태라는 이해를 전제로 말씀드려볼까 합니다.
잘 달려가던 사람이 앞을 보지 못하게 되어 발걸음이 더뎌졌다면 ‘언젠가 멈추지는 않을까? 느려진 만큼 더 빨리 달려야 하는데…’란 걱정이 들고 초조함이 밀려오기 마련이지요. 혹은 잠깐 스텝이 꼬여 멈칫하게 된 이후, 모든 것이 망쳐졌다고 생각하여 그 자리에 멍하니 서 있게 되었을 수도 있습니다.
그럴 때 우리는 어떻게 해야 할까요? 먼저 자신의 상황을 인지해야 합니다. 특정 사건은 윤이 님께 깊은 상저를 남겼고, 그 상처는 미래를 꿈꾸는 것을 주저하게 하며 인생은 희망이 없고 허무할 뿐이라고 느끼도록 하고 있다는 것을요.
두 번째, 사건 이후 힘드셨을 텐데도 지금까지 윤이 님을 버티게 한 자원이 있습니다. 윤이 님을 지지해주는 사람들, 바쁜 일정으로 하루하루 시간이 빠르게 지나간다는 것, 성격적 특성, 어렵더라도 꾸준히 유지하고 있는 일상 등등 윤이 님이 지니고 있는 내/외적 자원들을 살펴보시고 활용하시기 바랍니다.
세 번째, 윤이 님께 도움이 될 사고의 변화가 필요합니다. 허무하다는 생각의 근거와 반박 근거를 찾아 비교해보는 것입니다. 사고와 근거를 면밀히 살핀 후 어떤 사고를 선택할지 결정하세요. 무의식적으로 흘러가는 자기비하적 사고에 윤이 님을 내어주지 마세요. 아픈 기억이 뇌 속 편도체에 저장되어 윤이 님을 힘들게 하고 있지만, 현실에서 안전하다는 증거들을 찾고 사고를 변화시키면 새로운 기억으로 ‘‘덮어쓰기”가 가능해집니다.
예전 사랑했던 사람과 함께 했던 장소들이 아픔이 되기도 하지만, 그곳에서의 새롭고 즐거운 기억이 생기고 더 추가된다면 예전의 기억 위에 덮어지게 됩니다. 그러면 더는 그곳에서 느끼는 아련함은 아픔이 아니라 ""추억’’이 되는 것이지요.
상처가 생기기 전과 똑같이 달리기하는 것은 당장 어려울지도 모릅니다. 그렇지만 조금씩 내딛다 보면 어느새 다시 달리고 있는 윤이 님을 발견하실 것입니다. 당신에게는 그럴 힘이 있으며, 지금까지 끌고 온 자원들이 있습니다.
*추천 도서[빨간 모자와 늑대의 트라우마 케어(시라카와 니시 미야코)]
*추천 도서[멘붕 탈출법:십 대를 위한 9가지 트라우마 회복스킬(이주현)]
*추천 도서[영화로 만나는 트라우마 심리학(김준기)]
*추천 영화<마담 프루스트의 비밀정원>"""
41,"저의 실수로 남이 다친 경험이 있어요. 그 이후 관련된 물품을 보면 피하고 싶고, 지켜주지 못했다는 자책감도 들어요. 시간이 지나며 덜 해지긴 했지만, 안전에 대한 강박도 생긴 것 같아요. ","의도하지 않았지만 윤이님의 실수로 다른 사람이 다치게 되어 많이 놀라셨을 것 같습니다. 아마 그 일이 윤이님에게 심적으로 크게 다가와서 관련 물품을 보는 걸 피하고 싶고, 자책감이 드시는 것 같습니다. 
그래도 세월이 지나며 자책이나 회피하고 싶은 마음이 덜해지고 있다니 참 다행입니다. 아마 힘들어졌던 마음이 조금씩 회복되고 있는 중이 아닐까 생각이 듭니다. 이렇게 고민을 하고 글을 작성해서 보내는 것도 상대에 대한 미안함과 회복하려는 노력의 일환이겠지요? 이런 마음이시라면 상대방에게도 충분히 미안한 마음과 조심하고 있는 윤이님의 모습이 보이지 않을까 싶습니다.
그때 당시 깜짝 놀랐던 마음과 미안함이 안전에 대한 불안감을 자극시켜 윤이 님의 레이더가 자주 켜지는 상태일 것입니다. 다른 선생님들께서 다양한 방법을 추천해 주시겠지만 지금 윤이님께는 노출기법을 설명해드리고 싶습니다. 특히 관련된 물품과 관련되어 작동하는 레이더의 빈도와 횟수를 줄이는 것이라 생각하시면 될 것 같네요. 
관련된 물품이나 비슷한 자극을 주는 물건을 조금씩 사용해보세요. 두근두근 하지만 아무 일 없이 지나가고, 더 이상 타인을 다치게 하지 않을 수 있다는 새로운 경험들이 쌓이다 보면 어느덧 ‘썩 괜찮은' 상태를 지나 ‘불안함이 지나간 과거 가 되는’ 날이 올것입니다. 그리고 ‘다 괜찮은' 날이 와도 좋습니다."
42,"열심히 준비하던 시험에서 결과가 좋지 않았어요. 이후 “열심히 해도 잘 안 될 수도 있어. 괜히 기대하지 말자“라는 생각이 자꾸 들고, 실패하면 안 되니까 아예 목표도 잘 안 세우려 합니다. 어떻게 해야 하죠?","인류에게 경험을 해석하고 삶의 태도에 반영하는 것은 적응을 위해 필수적인 요소입니다. 그 시험이 중요했고 많은 노력을 기울였던 만큼 기대와 다른 결과로 인해 세상을 보는 태도가 달라질 수 있다는 것이지요. 
""열심히 해도 혹시 잘 안될 수도 있을 것 같다.”, “괜히 잘 될 거라고 기대하지 말자.'’와 같은 표현이나 ""특정 목표를 가지지 않으려는 모습'’에서 스스로를 지키고자 노력하시는 마음이 느껴집니다. 기대가 큰 만큼 대비되는 실망감, 좌절감 등에 상처받지 않도록 스스로 수용 가능한 범위로 조정해주려는 시도인 것이지요. 다만 방어적인 태도가 과해지면서 위축되고 불안해지는 방향으로 기울어져 버렸습니다. 
이러한 마음을 이겨내고 나아지기 위해 아래와 같은 영역들에 대한 이해와 대처 방법들을 권해 드립니다. 
1.어떤 일에 대한 결과는 다양한 요소들의 영향을 받습니다. 자신의 결정이나 노력 외에도 그 일이 갖는 속성, 대상, 환경이 주는 영향이 따라 결과가 달라질 수 있죠.
명심할 것은 대비할 수 있는 부분은 예상하여 대처하더라도, 예상하거나 통제할 수 없는 부분에 대해서는 이해와 수용이 필요합니다. 경험을 통해 충분한 이해와 적정선에서의 노력파 기대를 갖도록 조정해 가는 것은 건강하고 유연한 성숙된 태도라고 불리기도 합니다.
2. 기대와 목표 범위, 성공파 실패 기준에 단계 설정이 필요합니다. 윤이님의 기대에 대해 핵심적/부가적/파도한 기대의 영역을 구분해보세요. 목표가 현실적인지, 투입 가능한 자원이 있는지 목표달성의 가능성을 얼마인지를 여러 측면에서 펑가해보는 것입니다.
높은 목표를 갖는 것이 나쁜 것만은 아니나 적절한 기대와 평가도구를 갖는 것은 노력의 결과물을 수용하고 다음을 살아가기 위한 원동력을 쌓는데 도움이 됩니다. 현재는 목표를 갖지 않는 것으로 스스로를 보호하고 있으나 단계를 설정하여 안정감을 회복해간다면 목표가 다시 원동력이 되는 윤이님을 만나실 수 있을 거에요.
3. 대안이 필요합니다. 목표 달성 방법에도 대안이 필요하고, 목표가 실현되지 않을 때에 대한 대안도 필요합니다. 뚜렷한 목표를 선택하고 집중하는 것도 도움이 되지만, 상황이 복잡하고 요인이 다양해 통제가 어려울 때일수록 선택과 집중에 더불어 대안이 필요할 것입니다.
4.윤이님의 활동에 부분 점수를 주세요. 2번에서의 단계설정과 더불어 목표나 과정, 상황, 결과에 대한 부분 점수 주기를 통해 윤이님의 노력파 성취를 안정적으로 평가해줄 수 있습니다. 목표 자제가 높거나 과정에서 들이는 노력, 난이도, 방식 등에 따라서도 평가는 달라질 것입니다. 나아가 목표 달성이 어려운 환경에서 노력을 기울였다면 결과를 떠나 노력 자체에 대한 점수를 줄 수 있겠죠 결과 또한 완벽한 것에서부터 훌륭한, 충분한, 조금 아쉬운, 부족한 등등 여러 수준에서 평가를 내려줄 수 있을 것입니다. 이를 통해 성공과 실패, 두 가지 잣대 외에도 윤이님을 이끄는 힘이 되어줄 자원을 확보할 수 있을 것입니다. 자존감은 증거를 기반으로 형성됩니다. 부분 점수를 주고 하고 있고, 한 것들에 초점을 맞춰보세요. 
5.기대를 갖고 노력하는 스스로를 지지해주세요. ""작은 성과를 하나씩 얻다 보면 조금씩 좋아지겠지 하고 나아가는 중'’이라는 윤이님의 말 속에서 희망과 기대를 가지고 노력하고 있는 모습이 보입니다. 그 자체로도 자신을 사랑하고 있으며, 충분히 의미가 있음을 알아주시면 좋겠습니다. 
지금도 할 수 있는 것들을 해나가며 자신을 돕고 있는 윤이님이 자신을 이해하고 지지하며 앞으로의 삶을 안정적이고 행복하게 꾸려나가실 수 있길 바랍니다. "
43,"성범죄 피해로 인한 트라우마를 어떻게 처리해야 하나요? 악몽도 꾸고 그때 느꼈던 감정에 빨려 들어가는 기분도 들어요. 가끔 위협받는 공포감도 느껴지고요. 그래도 시간이 흘렀기에 잘 지내는 날들도 있지만.. 앞으로 가볍게 웃어넘길 수 있는 날이 오길 기다릴지, 끄집어내서 제대로 치료받아야 하는지 궁금합니다. ","먼저 상담과 치료가 필요한지에 대해서는 애매한 답을 드려야 할 것 같습니다. 힘든 일을 겪고 나서 마치 아무 일도 일어나지 않은 것처럼 되돌아갈 수는 없을 것입니다. 집에 도둑이 들었을 때 경제적인 손해도 보고, 혹시 더 나쁜 일이 생기면 어쩌나 불안할 수도 있습니다. 보안업체도 알아보고 여러 방법으로 마음을 진정시키려 노력할 것입니다. 조금 진정이 되면 ‘강도를 마주치진 않았으니 그나마 다행’이라며 ""과거의 일’’을 떠올려도 불안하지 않고 일상으로 돌아올 수 있습니다. 만약 사건 이후 나름의 해결책을 적용해보는 중이고 일상이 무너지지 않았다면 꼭 전문가를 만나야 하는 것은 아닐 것입니다._x000D_
그럼 위 예시의 피해자가 우연히 뉴스에서 도둑이 집주인을 보고 놀라서 도망치다 물건이 넘어져 집주인이 크게 다졌다는 기사를 접했다고 가정해봅시다. ‘나도 도둑이랑 마주쳤으면 저럴 수 있었겠네’라는 생각이 머리를 잠시 스치는 것은 문제가 아닙니다. 그런데 안심하고 사용하던 잠금장치나 보안업체가 허술하게 느껴져 불안하고 잠도 못 잘 정도라면 피해자의 뇌가 아직 안정을 찾지 못한 것 일 테니 치료가 필요할 것입니다._x000D_
옆집 사람이 “그러게 열쇠를 좀 튼튼한 거로 바꾸지 그랬어.”라 하더라도 잘못한 사람은 도둑이고 나를 안타까워한다는 것을 쉽게 이해할 수 있습니다. 성범죄에는 신체적 피해 외에 복잡한 요소들이 있기에 더 간단하지 않을 수 있습니다. 피해를 본 것으로도 힘든데 다른 사람들의 시선까지 신경 쓰는 것은 쉬운 일이 아닙니다. ‘별일이 아닌 것’은 아닙니다. 무섭고 힘든 상황을 겪었기에 공포감이 드는 걱정도 떠오를 것입니다. 가해자가 법의 심판을 받게 할 것인지, 사과를 받고 용서할 것인지, 내 마음의 공소시효가 끝났으니 과거의 지나간 일로 덮어둘 것인지 자신의 마음을 잘 정리할 필요가 있습니다._x000D_
이런 과정을 통해 현재를 잘 살아가고 있다면 서서히 ‘과거에 지나간 일’이 되어 가겠지요. 이 과정을 혼자, 혹은 가까운 사람과 해내기 힘들다면 도움을 받는 것도 좋을 것 같습니다."
44,"어릴 적 아빠가 기분이 안 좋으면 가족들을 때리시곤 하셨는데, 문득문득 그때 기억이 나면 숨이 막히고 화가 나고 눈물이 납니다. 자상한 남자친구가 있긴 한데 혹시나 변하지는 않을까 똑같진 않을까 걱정돼요.","폭력 학대, 무시, 방임…. 모두 무섭고 두려운 말들입니다. 어릴 적 아버지가 행하셨던 일들은 시간이 지난다고 정당화되거나 괜찮았던 기억으로 포장되지는 않을 것입니다. 윤이 님의 마음에 깊은 상처로 남아 성인이 된 지금까지도 아프게 합니다._x000D_
가깝고 친밀한 관계에서 일어나는 아픔은 우리를 더욱 힘들게 합니다. 마음껏 원망하거나 미워하기에는 ‘그래도 아빠인테 .. ', ‘그래도 가족인데 미워하면 안 되는 거잖아…. ’라는 생각이 들기 때문입니다. 이것을 양가감정이라고 하는데, 우리는 이 혼란스러운 감정 모두 자신의 것임을 받아들여야 합니다._x000D_
‘‘여름방학에 가족들이랑 놀러 갔을 때 되게 좋았는데, 아빠가 고기도 구워주고 물놀이도 같이 하고 장난도 지고… 그때는 참 좋았었지. 가끔 그렇게 우리를 힘들게 하지만 않았어도 덜 미웠을 텐데, 그럴 때는 진짜 무섭고 차라리 없었으면 싶었어. 지금은 또 아빠 보면 힘도 빠지고 나이도 들어서 조금 짠하기도 해.”_x000D_
그다음, 해결되지 못한 과거의 상처가 현재 나에게 어떤 일을 벌이고 있는지 마주 봅시다. 어떨 때 마음이 유독 괴로웠는지, 남자친구의 모습 속에서 내가 바라본 것은 무엇이었는지, 예전 그때 나는 무엇을 느꼈고 어떤 생각을 했었을까? 지금도 나에게 두려운 일들과의 연관은 얼마나 될까? 등을 생각해보는 것입니다._x000D_
답답하지만 어쩔 수 없이 흘러가는 것들이 있습니다. 그때의 어린 윤이 님이 할 수 없었던 행동과 반응이 있기 마련입니다. 윤이 님의 잘못도 아니며, 자신을 탓할 일도 절대 아닙니다. 현재에 할 수 있는 것을 찾아 앞으로의 윤이 님을 위해 내딛어봐요."
45,"안 좋은 성적을 받게 되는 것을 극도로 두려워합니다. 남들은 다 해내는데 나만 못하는 것 같고, 앞으로는 더 못할 일만 남았다는 생각에 차라리 죽는 게 나은가 싶기도 하지만 이도 저도 못 하는 상황입니다.","죽고 싶을 정도로 두렵다니 정말 힘들 것 같습니다. 계속 나만 뒤처지고 결국 생존하기도 어려울 것 같다는 생각이 드나 봅니다. ‘성적’이라는 학교 체계에서의 결과물과 ‘타인과의 비교’가 윤이 님을 힘들게 하는 부분인 것 같습니다. 죽음이라는 힘든 생각을 하는 순간에도 ‘나’ 위주가 아니라 ‘타인의 평가’를 신경 쓰고 계시니까요.
무언가를 배우는 과정에서 점수나 등수를 얻는 것은 ‘적당히' 중요한 일입니다. 인생의 최종 목표는 아니지요. 영어가 중요한 업무에는 토익 성적으로 면접 대상자를 선발하겠지만 토익 성적이 가장 좋은 사람이 적임자인 것은 아닙니다. 거꾸로 말하면 그렇게 힘들게 얻은 최고 점수도 행복이나 안정을 보장해주지 않습니다. 배움의 과정에서 통계적인 수준을 확인하는 보조 수단일 뿐입니다. 하지만 그 지표를 보면서 점수가 늘면 성취감도 느끼고 동기 유발도 됩니다. 어떤 부분이 약하고 부족한지 찾아내는 것에도 도움이 될 것이고요.
‘타인과의 비교’도 꼭 나쁜 것만은 아닙니다. 우리는 적당히 좌절을 겪으며 내가 모든 것을 잘 해낼 수는 없다는 것을 받아들여야 합니다. 나의 장점에 집중할 수도 있습니다. 반대로 남들보다 조건이 좋지 않더라도 꼭 하고픈 것이라면 약점을 감수하고도 열심히 해볼 수 있습니다. 또래보다 키가 작아 고민이었다는 농구 배구 선수들의 이야기를 들어봤을 것입니다. 모든 면에 뛰어나지 않더라도 내가 괜찮은 사람이라는 느낌이 들 수 있어야 합니다.
심지어 꼭 ‘최상위권’이 되지 않더라도 일상의 즐거움을 느끼며 살 수도 있습니다. 윤이 님이 어느 측면이든 사회에 기여하고 있다면 자부심을 느낄 수 있고 의식주도 해결할 수 있습니다. 설령 장애로 인해 일할 수 없더라도 사회에는 최소한의 안전망이 있습니다.
이런 사실들을 머리로는 알고 있더라도 안전하게 느끼지 못하는 것은 내 머릿속에 ‘성적으로 뒤처지면 쓸모없는 사람이 되는 거야. 아무도 날 존중하지 않을 거.’라는 과장된 두려움이 사라지지 않기 때문일 것입니다. 이것이 어린 시절 부모님이 다른 아이와 비교하며 애정을 거두고 벌을 주셨기 때문인지, 친구들에게 성적으로 놀림을 당한 경험이 있어서인지, 아니면 내가 공부를 더 잘 해내고 싶은 마음에 공포심을 이용하는 방식을 반복하다 보니 강화된 것인지 보내신 글만으로는 알 수 없어 아쉽습니다만 한 번 찾아보시길 추천해 드립니다.
중요한 것은 내가 무엇을 이루고 싶고 어떨 때 즐거움을 느끼는지 아는 것이고 좌절될 때 감정을 나눌 사람도 필요합니다. 타인의 평가가 괜찮을 때는 덜 고통스럽지만, 신경은 쓰이고 나빠지면 죽고 싶을 정도로 고통스러운 것은 아닐까요? 더 큰 고통을 피하려 발버둥 지지만 그렇게 살아가는 현재도 고통스러운 상황이 아닐지 걱정이 됩니다.
이것이 우울증 같은 정신건강 문제로 생각이 왜곡되어 생긴 오류인지 반복된 경험에서 생긴 것인지 등을 알아보시는 것이 도움이 될 것입니다. 나만의 목표와 성취감, 재미를 통한 즐거움 함께 이야기 나눌 가까운 사람이 없다면 전문적 도움을 받아보는 것도 좋겠습니다."""
46,업무 스타일이 맞지 않고 책임감도 없어보이는 사람들 때문에 함께 일하는 것이 고통스러워요. 그 사람의 요령이라고 생각도 하지만 여전히 스트레스를 받습니다. 덜 미워하고 덜 양심에 가책을 받고 싶어요.,"살다 보면 사람이 참 다양하지요? 심지어 나와 다른 사람들과 함께 일할 확률은 마음이 맞는 사람들과 함께할 확률보다 훨씬 더 높을 것입니다. 아마 이런 점을 아시기 때문에 상대방의 요령이라고 생각해보시기도 한 거겠죠. 특히 책임감이 강하고 세밀하게 검토해 시일에 맞춰서 일 처리를 하고자 하시는 윤이 님께 그렇지 않아 보이는 사람들과 함께 일해야 하는 것은 결코 작은 일이 아닐 듯합니다._x000D_
자신의 신념과 상반되는 지시를 받게 되면 마음속에서는 긴장과 불편감이 올라오게 됩니다. 지시대로 할 것인지 신념대로 할 것인지를 고민하게 되기 때문이지요. 근데 무엇을 선택하던 마음은 불편할 수밖에 없습니다. 지시대로 한다면 윤이 님의 마음이 불편할 테고, 신념대로 한다면 다른 의미로 눈치를 보게 될 수 있기 때문입니다._x000D_
이런 갈등이 생길 때 우리가 대처할 수 있는 방법은 3가지가 있습니다. 환경에 순응해 상사의 방식대로 하거나, 지시와 신념 사이에서 그때그때 상황에 맞게 조절하거나, 자신의 신념대로 처리해서 지시를 무시하는 방법이지요. 일의 방식을 결정하는 권한과 책임이 누구에게 있는가를 살펴본다면 조금은 도움이 되지 않을까 싶습니다._x000D_
마지막으로 이런 혼란을 일으키는 상대방에 대한 감정이 남아있습니다. 이해되지 않는 사람에 대한 미움과 함께 미안함도 가지시는 것 같아요. 이를 양가감정이라고 하는데요. 살다 보면 누군가 미울 수도 있고 싫을 수도 있어요. 자연스러운 감정입니다._x000D_
다만 두 감정을 분리해야 합니다._x000D_
“일 처리하는 방식은 개떡 같은데, 사람이 악하지는 않아서 욕하기도 애매해 짜증 나.”"
